Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
1901,28.74,24.95,30.12,26.27,14.4,20.61,29.24
1902,28.96,25.43,30.81,26.42,14.26,20.77,29.1
1903,28.29,24.3,29.85,25.64,14.17,19.88,28.73
1904,28.23,24.38,29.64,25.67,14.44,20.07,28.81
1905,28.48,24.12,30.06,25.6,14.09,19.69,29.08
1906,29.08,24.52,30.22,26.51,14.49,20.14,29.75
1907,28.55,24.62,29.74,26,14.36,20.36,29.25
1908,28.11,24.26,29.35,25.83,14.56,20.35,28.62
1909,28.15,23.38,29.63,25.55,13.9,19.02,28.75
1910,28.58,24.04,29.72,26.12,14.58,19.93,29.35
1911,28.47,23.77,29.69,26,14.11,19.46,29.34
1912,29.04,24.66,30.53,26.35,14.38,19.93,29.81
1913,28.35,24.22,29.44,25.97,14.11,19.8,29.14
1914,29.2,25.43,30.08,27.15,14.69,21.23,29.92
1915,29.21,24.79,31.21,26.46,14.16,19.78,29.44
1916,28.42,23.64,29.66,25.75,13.68,19.34,29.25
1917,27.71,23.25,28.85,25.43,13.78,19.02,28.31
1918,28.47,24.02,29.45,26.17,14.31,19.75,29.42
1919,28.96,25.45,30.27,26.72,14.47,20.76,29.55
1920,28.26,23.64,29.24,25.84,14.13,19.76,29.22
1921,28.53,24.23,29.24,26.48,14.78,20.48,29.58
1922,28.65,24.79,30.06,26.27,14.35,20.1,29.24
1923,28.76,24.66,30.25,26.47,13.97,19.81,29.37
1924,28.29,23.34,29.49,25.53,13.6,18.67,29.47
1925,28.21,23.57,29.51,25.94,13.84,19.55,28.98
1926,28.99,24.24,30.87,26.27,14.46,20.01,29.47
1927,28.61,24.05,29.86,26.14,13.96,20,29.28
1928,29.14,24.57,30.38,26.8,14.69,20,29.77
1929,28.3,23.97,29.85,25.61,13.76,19.23,28.92
1930,28.68,24.16,29.35,26.79,14.67,20.33,29.65
1931,28.31,23.45,30.29,25.42,13.77,19.02,28.61
1932,28.65,24.15,30.23,25.73,14.17,19.37,29.46
1933,28.38,23.97,29.55,25.82,13.9,19.59,29.23
1934,28.44,23.87,29.61,26.49,14.83,20.11,28.98
1935,28.56,24.02,30.44,25.8,14.08,19.46,28.98
1936,28.83,24.02,29.97,26.08,14.14,19.56,29.93
1937,28.75,24.35,30.18,26.11,14.16,20.02,29.43
1938,29.14,25.02,30.57,26.42,14.42,20.65,29.85
1939,28.34,24.08,29.45,26.09,14.34,19.79,29.16
1940,29.02,25.32,30.23,26.54,14.28,20.4,29.89
1941,28.23,24.01,29.3,25.73,14.08,19.6,29.23
1942,28.8,24.39,30.76,26.31,14.23,20.01,28.7
1943,28.38,23.56,30.2,25.71,13.73,19.14,28.88
1944,28.74,24.58,29.95,26.35,13.82,19.74,29.67
1945,28.57,24.21,30.13,25.75,13.87,19.57,29.36
1946,28.48,24.27,30.39,25.61,13.37,18.95,29.03
1947,28.36,23.66,29.82,26.01,14.54,19.64,28.96
1948,28.57,23.72,30.22,26.03,13.83,19.17,29.36
1949,27.93,23.27,29.25,25.12,13.61,18.72,29.1
1950,27.96,23.35,28.56,25.88,14.6,19.84,29.31
1951,28.51,24.02,30.01,26.39,14.56,19.78,28.96
1952,28.38,23.55,30.38,25.35,14.09,18.99,28.88
1953,28.46,24.01,29.92,26.17,14.22,19.7,29.14
1954,28.35,23.77,29.29,25.92,14.55,19.84,29.36
1955,27.96,23.3,29.41,25.53,14.3,19.33,28.41
1956,27.61,22.35,28.66,25.05,14.22,18.82,28.78
1957,29.06,24.87,30.37,26.8,14.43,20.08,29.83
1958,28.79,23.94,30.56,25.72,14.2,19.45,29.37
1959,28.95,24.15,29.81,26.79,15.05,20.55,29.92
1960,28.05,23.46,29.51,25.63,14.71,19.38,28.52
1961,29.06,24.2,29.91,27.04,15.57,20.96,29.95
1962,28.72,23.63,29.97,26.33,14.78,20.07,29.62
1963,28.43,23.54,29.55,26.29,14.7,19.96,29.11
1964,28.51,23.61,30.17,25.77,13.79,19.23,29.19
1965,29.07,24.79,30.34,27.05,14.52,20.31,29.67
1966,28.15,23.48,29.66,25.62,14.68,19.6,28.83
1967,28.66,24.34,29.91,26.5,14.89,20.6,29.34
1968,28.06,23.72,29.71,25.86,14.35,19.93,28.35
1969,28.81,23.73,30.37,26.16,14.6,19.76,29.72
1970,28.71,23.53,30.1,26.07,14.4,19.35,29.62
1971,28.35,23.49,29.77,26.09,14.81,19.78,28.94
1972,29.1,24.43,30.02,26.91,15.58,20.62,30.13
1973,28.68,24.2,30.16,26.46,14.97,19.92,29.15
1974,27.63,23.05,29.05,25.38,14.91,19.54,28.49
1975,28.32,24.08,29.68,26.27,14.69,20.13,28.89
1976,28.15,23.36,29.23,25.69,14.49,19.84,29.4
1977,28.76,24.55,29.67,26.8,14.75,20.22,29.99
1978,28.11,23.23,29.39,25.57,14.59,19.65,29.13
1979,28.96,24.77,30.3,26.55,15.04,20.32,29.75
1980,29.44,25.27,30.87,27.28,15.22,20.71,29.96
1981,28.74,24.35,29.94,26.58,15.38,20.49,29.49
1982,28.87,25.02,30.25,26.92,15.39,21.01,29.47
1983,28.74,23.83,29.95,26.41,14.77,19.83,29.81
1984,28.11,23.39,29.43,25.72,14.69,19.55,29.03
1985,28.79,24,29.97,26.23,14.87,20.01,29.84
1986,28.7,24.07,30.46,26.08,14.47,19.35,29.26
1987,28.65,24.11,30.2,26.11,14.93,19.92,29.45
1988,29.22,24.55,30.61,26.82,15.81,20.75,29.95
1989,28.29,23.62,29.35,25.74,15.41,19.87,29.36
1990,28.94,24.26,30.02,26.72,15.34,20.46,29.7
1991,29.31,24.94,30.5,27.13,15,20.28,30.28
1992,28.42,23.42,30.27,25.55,14.49,19.11,29.01
1993,28.68,24.34,30.31,26.58,15.38,20.01,29.22
1994,29.22,24.77,30.18,26.9,14.96,20.24,30.49
1995,28.46,23.79,30.26,26.03,14.25,19.31,29.06
1996,29.03,23.89,30.39,26.57,14.19,19.3,30.06
1997,28.65,24.87,29.95,26.45,15.14,20.52,29.32
1998,29.08,24.32,30.41,26.41,15.25,20.14,30.04
1999,28.69,24.24,29.8,26.81,15.6,20.57,29.42
2000,28.22,24.16,29.37,26.66,15.62,20.5,28.84
2001,28.56,24.73,30.41,26.35,15.41,20.41,28.94
2002,29.73,25.61,31.28,27.38,15.46,20.91,30.28
2003,29.16,24.64,30.71,26.85,15.37,20.35,29.83
2004,29.08,25,30.6,26.94,14.82,20.3,29.62
2005,29.6,25.26,31.03,27.39,15.54,20.8,30.16
2006,28.97,25.35,30.23,27.1,14.9,20.9,29.52
2007,29.08,25.05,30,27.33,15.67,21.13,29.86
2008,28.84,24.29,29.87,26.71,15.08,20.36,29.62
2009,29.32,25.25,30.43,27.29,15.17,21.06,30.02
2010,28.16,23.73,28.9,25.63,15.49,20,29.63
2011,28.4,24.41,29.55,26.45,15.32,20.27,29.31
2012,29.12,24.77,30.18,27,15.79,20.69,30.11
2013,29.99,25.81,31.39,27.86,15.95,21.36,30.49
2014,29.77,25.8,31.02,27.73,16.14,21.53,30.54
