Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
1901,21.53,17.55,23.14,18.93,9.89,14.11,21.92
1902,21.53,17.54,23.24,18.95,9.76,14.05,21.71
1903,21.18,17.03,22.85,18.36,9.76,13.68,21.59
1904,21.11,16.93,22.71,18.37,9.79,13.71,21.71
1905,21.19,16.69,22.74,18.27,9.64,13.4,21.75
1906,21.86,17.22,23.11,19.19,9.98,13.98,22.47
1907,21.2,17.04,22.44,18.55,9.87,13.78,21.91
1908,20.84,16.92,22.1,18.48,10.19,14.14,21.33
1909,20.98,16.37,22.36,18.21,9.62,13.15,21.58
1910,21.39,17.03,22.61,18.76,10.37,13.96,22.07
1911,21.19,16.75,22.28,18.69,10.04,13.66,21.99
1912,21.7,17.38,23.1,18.94,10.23,13.84,22.48
1913,21.1,17.11,22.17,18.58,9.96,13.72,21.89
1914,21.99,18.29,23.03,19.7,10.41,14.8,22.66
1915,21.97,17.61,23.7,19.13,10.02,13.79,22.39
1916,21.37,16.91,22.82,18.53,9.76,13.5,22.03
1917,20.66,16.45,21.82,18.24,9.88,13.49,21.28
1918,21.16,16.82,21.95,18.8,10.25,13.83,22.2
1919,21.65,17.99,22.86,19.26,10.36,14.39,22.33
1920,21.21,16.76,22.52,18.51,10.07,13.77,21.99
1921,21.52,17.37,22.64,19.15,10.69,14.41,22.38
1922,21.28,17.31,22.57,18.71,10.18,13.87,21.94
1923,21.4,17.39,22.67,18.9,9.84,13.77,22.13
1924,20.99,16.28,22.38,17.9,9.57,12.87,21.97
1925,20.94,16.57,22.17,18.44,9.69,13.45,21.7
1926,21.66,17.18,23.41,18.64,10.29,13.9,22.22
1927,21.31,16.65,22.58,18.57,9.77,13.59,22.12
1928,21.75,17.34,23.12,19.04,10.52,13.92,22.3
1929,20.94,16.68,22.39,18.11,9.65,13.15,21.58
1930,21.53,17.26,22.38,19.31,10.37,14.18,22.44
1931,21.19,16.61,23.14,18.18,9.74,13.26,21.49
1932,21.42,17.02,22.92,18.44,10.1,13.49,22.16
1933,21.25,16.94,22.69,18.38,9.87,13.54,21.98
1934,21.37,16.9,22.64,19.05,10.61,14.11,21.89
1935,21.28,16.79,23.02,18.51,10.03,13.55,21.64
1936,21.55,16.89,22.89,18.61,10.02,13.59,22.49
