Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
1901,14.37,10.19,16.2,11.64,5.42,7.66,14.65
1902,14.16,9.71,15.72,11.53,5.31,7.39,14.38
1903,14.12,9.81,15.9,11.12,5.4,7.53,14.5
1904,14.04,9.52,15.83,11.12,5.19,7.41,14.67
1905,13.95,9.32,15.48,11,5.23,7.16,14.46
1906,14.7,9.97,16.06,11.93,5.52,7.87,15.24
1907,13.9,9.51,15.19,11.16,5.42,7.25,14.63
1908,13.62,9.62,14.9,11.18,5.87,7.97,14.1
1909,13.85,9.42,15.14,10.91,5.39,7.33,14.46
1910,14.25,10.07,15.54,11.44,6.21,8.05,14.84
1911,13.96,9.79,14.92,11.44,6.03,7.91,14.69
1912,14.42,10.16,15.71,11.58,6.13,7.79,15.21
1913,13.9,10.06,14.95,11.23,5.87,7.69,14.7
1914,14.84,11.2,16.03,12.3,6.17,8.42,15.46
1915,14.78,10.49,16.25,11.86,5.93,7.85,15.38
1916,14.36,10.24,16.03,11.36,5.89,7.71,14.87
1917,13.67,9.69,14.84,11.1,6.03,8,14.29
1918,13.91,9.67,14.5,11.49,6.24,7.97,15.03
1919,14.38,10.57,15.5,11.84,6.3,8.07,15.16
1920,14.2,9.92,15.85,11.23,6.06,7.83,14.81
1921,14.55,10.57,16.09,11.87,6.66,8.4,15.22
1922,13.95,9.87,15.12,11.21,6.07,7.69,14.68
1923,14.1,10.18,15.14,11.38,5.76,7.78,14.94
1924,13.74,9.27,15.32,10.32,5.58,7.12,14.51
1925,13.72,9.61,14.89,10.99,5.59,7.41,14.48
1926,14.39,10.16,16,11.05,6.17,7.83,15.01
1927,14.07,9.31,15.35,11.06,5.63,7.23,15.01
1928,14.42,10.16,15.9,11.34,6.41,7.9,14.88
1929,13.63,9.43,14.97,10.66,5.6,7.11,14.3
1930,14.44,10.42,15.46,11.88,6.12,8.08,15.28
1931,14.11,9.83,16.03,10.99,5.74,7.55,14.43
1932,14.23,9.93,15.66,11.2,6.08,7.66,14.9
1933,14.18,9.97,15.88,10.98,5.89,7.54,14.78
1934,14.34,9.98,15.72,11.67,6.44,8.16,14.85
1935,14.04,9.61,15.65,11.27,6.03,7.68,14.34
1936,14.33,9.81,15.85,11.19,5.96,7.66,15.09
1937,14.12,10.03,15.45,11.45,6.05,7.71,14.82
1938,14.75,10.73,16.47,11.69,5.94,7.88,15.38
1939,14.23,10.51,15.65,11.63,6.14,8.12,14.75
1940,14.1,10.09,15.72,10.99,5.66,7.45,14.81
1941,14.09,9.71,15.23,11.35,5.65,7.72,15.13
1942,14.68,10.62,16.65,11.85,6.12,8.39,14.81
1943,13.78,9.55,15.49,10.71,5.28,7.21,14.34
1944,14,9.79,15.6,10.96,5.58,7.22,14.82
