Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
1901,425.21,434.78,593.61,189.85,1352.52,608.86,294.28
1902,318.94,315.76,304.46,168.52,1192.75,512.4,308.63
1903,523.53,567.12,782.85,262.21,1547.29,744.25,347.16
1904,500.2,488.37,624.86,266.32,1157.75,646.36,350.4
1905,363.07,462.75,441.71,178.89,1437.34,679.84,290.39
1906,486.99,595.41,822.23,248.13,1255.12,769.89,277.77
1907,479.29,467.92,668.56,223.19,1348.02,577.4,354.27
1908,479.17,502.33,699.65,273.37,899.69,578.49,354.15
1909,465.75,528.85,662.19,231.92,1278.14,749.25,364.28
1910,541.5,538.79,833.12,291.19,1398.81,726.22,321.86
1911,450.15,601.89,729.54,201.74,1224.71,751.67,248.17
1912,395.22,455.66,496.81,220.35,1300.71,618.8,286.64
1913,475.61,524.49,779.94,223.55,1058.96,643.07,306.69
1914,439.15,489.62,640.49,181.22,894.8,428.82,326.93
1915,393.11,384.44,376.32,173.02,1320.56,626.27,412.93
1916,543.22,680.7,783.79,282.33,1675.52,846.37,354.29
1917,574.37,658.64,818.11,304.84,1599.41,881.66,415.21
1918,458.85,416.75,658.91,181.67,1243.57,685.26,373.77
1919,390.57,373.1,422.5,196.64,1021.04,602.27,315.43
1920,518,586.67,766.26,308.44,1195.58,701.1,320.7
1921,556.14,704.87,781.53,301.85,1161.51,731.39,349.48
1922,436.73,399.64,558.11,208.5,1316.33,599.64,327.03
1923,418.3,414.59,413.44,211.54,1624.62,698.53,369.89
1924,443.77,584.66,757.99,208.29,1460.8,806.18,213.51
1925,433.47,507.51,609.39,173.27,1063.52,561.2,331.22
1926,411.25,523.12,402.42,208.71,1301.49,625.92,368.89
1927,428.79,411.98,618.27,167.34,1073.92,505.2,359.88
1928,392.14,538.34,558.55,154.08,1457.52,705.36,276.06
1929,402.57,453.69,589.25,141.93,1457.23,597.82,290.46
1930,486.71,541.5,695.88,226.41,1180.52,688.89,327.56
1931,445.98,637.11,542.53,230.16,1520.52,744.34,338.11
1932,403.88,484.09,443.52,245.75,1344.33,735.09,313.78
1933,456.33,538.74,707.3,191.04,1094.82,668.96,302.34
1934,463.99,642.03,609.65,181.63,1240.08,799.57,363.46
1935,362.72,392.97,402.67,215.99,1348.61,700.42,275.95
1936,434.54,559.24,717.95,192.62,1186.94,703.35,213.86
1937,404.3,460.54,511.51,220.86,1168.98,586.07,296.53
1938,385.99,414.86,546.62,200.76,1351.53,447.6,267.86
1939,503.27,584.11,709.06,280.09,1502.4,851.4,319.55
1940,409.26,316,676.9,139.7,1006.19,469.19,250.82
1941,490.23,442.68,737.68,234.89,1113.52,677.38,309.56
1942,512.64,561.46,625.44,261.19,1283.1,741.19,466.8
1943,421.11,460.93,546.48,169.05,1125.92,547.73,347.27
1944,387.74,313.69,592.04,148.93,1261.54,468.08,236.15
1945,434.11,492.61,563.69,245.16,1078.04,572.01,307.3
1946,408.02,440.31,486.08,262.23,1567.43,774.47,306.15
1947,502.59,652.17,669.38,265.82,1601.04,788.21,374.45
1948,400.16,508.06,490.36,172.79,1334.82,641.91,315.27
1949,494.59,661.79,723.02,231.47,1144.61,727.69,314.61
1950,628.63,925.1,1095.39,299.33,1091.17,729.96,272.97
1951,391.31,471.38,492.24,197.95,1240.67,771.33,307.49
1952,408.52,642.68,520.88,242.89,1499.91,908.75,255.59
1953,467.64,462.11,667.12,245,1425.1,703.77,297.06
1954,482.58,605.45,824.97,214.87,1146.89,702.61,262.37
1955,577.54,728.39,868.45,308.7,1385.81,850.92,406.84
1956,619.37,853.85,1055.14,267.34,1727.44,967.59,303.12
1957,409.78,366.72,563.16,161.05,1150.36,590.32,283.38
1958,443.16,573.14,631.6,261.49,1475.87,737.46,316.31
1959,437.71,658.03,659.48,155.01,1041.62,619.08,271.64
1960,492.57,551.4,582.76,228.75,1311.63,862.54,392.87
1961,367.66,593.44,489.05,152.83,1001.95,638.99,286.38
1962,460.5,634.64,644.79,197.4,1322.59,672.57,322.09
1963,488.53,690.59,651.25,200.11,985.21,709.44,426.07
1964,458.33,519.23,675.95,204.17,1571.92,823.17,295.71
1965,360.17,353.06,457.58,145.12,1121.2,564.15,305.67
1966,418.92,506.15,473.55,267.95,1169.89,756.39,317
1967,431.63,409.34,568.84,151.79,954.52,385.58,353.33
1968,549.79,552.67,654.64,337.18,1447.45,741.86,442.46
1969,436.23,653.89,479.94,256.63,1363,709.89,286.31
1970,404.44,568.05,558.6,168.19,1534.7,808.06,281.24
1971,507.75,613.63,746.49,251.87,1574.57,781.82,338.53
1972,381.25,466.83,610.73,156.87,979.87,510.09,217.08
1973,668.79,779.65,936.17,402.29,1468.62,977.23,458.63
1974,749.89,812.29,972.73,444.95,1478.49,971.66,492.9
1975,601.78,629.38,826.3,309.26,1676.83,824.19,392.28
1976,551.52,702.42,819.4,251.08,1217.45,599.96,293.43
1977,492.47,500.45,767.99,173.83,1177.94,579.44,256.02
1978,538.7,738.21,687.15,260.46,1255.05,858.02,385.55
1979,467.91,439.2,676.86,335.54,1211.38,647.15,287.37
1980,450.47,407.88,538.7,207.92,1253.36,628.34,401.35
