Year,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania
1861,1.069455104,0.825335893,1.442572741,1,0.878158845,1.036363636,1.431226766
1866,0.793176329,0.51782364,1.322268326,1.125,0.587244284,0.7,1.164983165
1871,0.722417582,0.45409015,0.679130435,0.916666667,0.773600327,0.796296296,1.042735043
1876,0.884294649,0.985212569,1.041506533,1.625,0.803134451,0.747126437,1.098265896
1877,0.579515611,1.105263158,0.884852217,1.285714286,0.362973096,0.802631579,1.297468354
1878,0.668204489,0.934265734,0.835886214,0.833333333,0.521766829,0.739130435,1.216931217
1879,0.581400321,0.991525424,0.589138978,0.897435897,0.480227058,0.741935484,1.081632653
1880,0.780997103,1.041313559,0.893780573,0.533333333,0.657346213,1.009615385,1.551912568
1881,0.514408289,0.987304688,0.669279393,1.386363636,0.333665906,0.803571429,1.00990099
1882,0.481194325,1.031180401,0.632533333,0.578947368,0.307348421,0.674157303,1.272727273
1883,0.474748295,1.098901099,0.607188376,0.952380952,0.283106961,0.739130435,1.365079365
1884,0.724392426,1.007672634,0.948310584,0.705882353,0.533395797,0.879310345,1.191616766
1885,0.606197594,1.043087971,0.639846743,1.152173913,0.505915278,0.87394958,1.289855072
1886,0.405638474,0.693097015,0.604651163,0.666666667,0.212824011,0.773109244,1.172131148
1887,0.584458728,1.167520117,0.773004695,0.857142857,0.369668841,0.804123711,1.202797203
1888,0.703312335,0.810279188,0.727054108,1.612903226,0.655220476,0.657657658,1.12195122
1889,0.366213502,0.320097245,0.477872513,1,0.259122402,0.685483871,1.351515152
1890,0.647552448,1.051795174,0.655974843,1.233333333,0.531643872,0.951388889,1.035175879
1891,0.564671667,0.736100815,0.74881312,1.357142857,0.377528422,0.927007299,1.335877863
1892,0.517634855,0.747054747,0.690339329,1.407894737,0.278688525,0.660550459,1.321243523
1893,0.640071813,1.011456628,0.742131419,1.008,0.408352291,0.781690141,1.163865546
1894,0.636615637,0.736163129,0.698284561,0.973913043,0.528237307,0.815028902,1.013392857
1895,0.506211595,0.730916031,0.560352581,1.309734513,0.331557505,0.528735632,1.123222749
1896,0.348631579,0.585093168,0.269896799,0.653846154,0.282486865,0.521276596,1.209923664
1897,0.327907648,0.687018545,0.301703924,1.171428571,0.111321856,0.519685039,1.158940397
1898,0.435840708,0.714427861,0.429253019,1.175213675,0.17721519,0.707006369,1.304597701
1899,0.509172239,0.47247191,0.611264051,0.882352941,0.329879818,0.779605263,1.817391304
1900,0.478676115,0.641025641,0.47318576,0.784037559,0.311940299,0.769005848,1.153846154
1901,0.573739752,0.710687762,0.594928956,1.012461059,0.39532481,0.700996678,1.438095238
1902,0.506810278,0.715299965,0.464929577,1.303116147,0.308815193,0.678851175,1.471910112
1903,0.161362983,0.083220699,0.086606368,0.25,0.244589051,0.71657754,1.439759036
1904,0.895720501,1.177429566,0.974394377,1.186046512,0.518844765,0.913978495,1.045
1905,0.584873685,0.623486851,0.622762287,0.957446809,0.439102994,0.743554953,1.24137931
1906,0.752482041,0.719072493,0.760591956,0.639751553,0.770496414,0.795944233,1.263473054
1907,0.74658185,0.78628178,0.748631886,0.650862069,0.696117216,0.740375123,1.330827068
1908,0.557569639,0.442707408,0.440535117,0.565868263,0.733408482,0.703180212,1.4
1909,0.799690097,0.746898263,0.882132445,1,0.769769478,0.580225499,1.618644068
1910,0.922975914,0.964117209,0.922940969,0.900843882,0.891032325,0.838745184,1.44
1911,0.8674085,0.88183401,0.976300876,0.643518519,0.777412538,0.681104034,1.44549763
1912,0.64843646,0.70873988,0.649234985,0.448275862,0.62440785,0.478805006,1.185430464
1913,0.842608491,0.979072085,0.845716317,1.061264822,0.694748099,0.77694704,1.676470588
1914,0.748197419,0.797641073,0.863251156,0.895716946,0.501961212,0.816666667,1.266666667
1915,0.173413217,0.31287519,0.092595789,0.838521401,0.094687994,0.128209732,1.082474227
1916,0.964412248,1.071849929,1.069500403,0.298153034,0.837618403,0.706754061,1.370558376
1917,0.888584162,0.64654333,1.100798482,0.726681128,1.10663465,0.690851735,0.848214286
1918,0.789215562,0.761763396,0.943326904,0.545454545,0.818630022,0.500395413,0.784090909
1919,0.636462038,0.511382281,0.76645838,0.318181818,0.705131103,0.518758085,1.0625
1920,0.481484333,0.200134093,0.520932629,0.45212766,0.52256989,0.72414611,1.234042553
1921,1.081140709,1.19619153,1.15617264,1.403899721,1.062243502,0.645167538,1.350877193
1922,0.893064172,0.900154679,1.129838175,1.235735736,0.703254561,0.69933432,1.389380531
1923,0.753726622,0.655134772,0.907859079,0.867572156,0.78857776,0.599777212,1.519607843
1924,0.880856795,0.757529994,1.035746652,0.31884058,0.960253397,0.76748695,1.406779661
1925,1.022096421,1.132177908,1.177475338,0.988235294,0.820796679,0.859618947,1.211538462
1926,0.75462649,0.777223959,0.782736925,0.799107143,0.779715374,0.651456651,1.38961039
1927,0.931712474,0.95364092,1.081539244,0.445887446,0.86326312,0.81220567,1.542553191
1928,0.647575318,0.600228348,0.574193548,1.182758621,0.549899194,0.815245159,2.458823529
1929,0.723418428,0.809932334,0.846644518,0.774631937,0.523307516,0.679255044,1.351648352
1930,0.56950976,0.582265887,0.47921286,1.394673123,0.430391758,0.736149584,1.5
1931,0.790542011,0.86280077,0.786742587,1.260435572,0.560645466,0.909051159,1.358974359
1932,0.86928751,1.003690284,0.791282655,1.043694141,0.79389452,0.88344806,1.042553191
1933,0.91222487,1.104109871,0.995869981,0.669960474,0.701239519,0.82867974,1.376470588
1934,0.799986731,0.837043825,0.938648321,1.263045793,0.622098662,0.787688247,1.551020408
1935,0.714764175,0.84098267,0.707035176,1.236343367,0.578547625,0.656118709,1.23880597
1936,0.810859411,0.85249583,1.086771587,0.754639175,0.710778641,0.616806069,1.19047619
1937,0.826360882,0.939942921,1.203675028,0.477351916,0.63100913,0.562368068,1.790697674
1938,0.916492731,0.830030994,1.206163753,0.675944334,0.92325127,0.804457871,1.670588235
1939,0.727924203,0.86616014,0.442995864,1.305198435,0.691079737,0.725581059,1.375
1940,1.065224267,1.175203069,1.071665793,1.261433447,1.009487666,0.924548706,0.966666667
1941,0.437093212,0.361386963,0.340236686,1.187260169,0.468731905,0.539105882,1.151515152
1942,0.933747838,0.821866633,1.145276931,0.711979609,0.881746706,0.94989756,1.5
1943,1.128168939,1.146244093,1.310563299,1.004428044,1.22201722,0.789711064,1.176470588
1944,0.93657419,1.186072117,0.740011022,1.215289982,0.906718221,0.709870703,1.65
1945,0.42011506,0.405020412,0.109841929,1.411895911,0.382706652,0.70639061,1.5625
1946,0.837962362,1.114130435,0.612935097,1.402392947,0.65293312,0.766321174,0.9
1947,0.598034619,0.235683914,0.94064507,0.19123506,0.744555621,0.659468269,1.225806452
1948,1.066140723,1.26994316,0.97863706,1.553180118,0.920507752,0.840032226,1.032258065
1949,1.018877561,1.077464358,1.101460035,1.582926829,0.851479219,0.849633779,1.5
1950,1.198638851,1.373575608,1.365629914,1.319604613,1.004821475,0.894125683,1.545454545
1951,1.062129174,0.874313289,1.259620596,1.057054401,1.125300883,1.052905128,1.181818182
1952,1.034199629,0.969484832,1.2555667,0.980434783,1.137561275,0.868801405,1.666666667
1953,1.285544852,1.410296269,1.516550426,1.731241473,1.476632522,0.794546503,1.555555556
1954,1.237989058,1.275745307,1.511428276,1.179804005,1.337267583,0.924803015,1.820512821
1955,1.062170047,0.869105072,1.364106275,1.611071172,1.251901697,0.77388852,1.433333333
1956,1.292503282,1.308488264,1.290214632,1.724299065,1.206695332,1.238583889,1.4
1957,1.147963347,1.09970217,1.51594569,1.318462594,1.46881979,0.780389703,1.5
1958,0.74134175,0.31592775,1.177912458,0.971566524,0.752969562,0.752256016,1.708333333
1959,1.390693695,1.405955991,1.586348123,1.536679537,1.529669944,1.177075514,1.692307692
1960,1.096319006,1.28285482,1.154005902,1.330198915,0.51746133,1.060402685,1.484848485
1961,1.369313376,1.396786905,1.701257862,1.067427756,1.583437892,1.068022613,1.428571429
1962,1.128728493,1.17133597,1.342701015,1.077455504,1.020729409,1.008180536,1.476190476
1963,1.252877531,1.4636866,1.46125257,1.36649637,0.992953723,1.014351114,1.822580645
1964,1.338279199,1.659299084,1.650453028,1.596995256,1.294418482,0.758040469,1.830985915
1965,1.383728468,1.768640069,1.624389126,1.496385542,1.301857725,0.822900177,1.441176471
1966,0.996641928,0.574806976,1.325562701,1.228238342,0.978934102,1.116441659,1.754385965
1967,1.506533582,1.908640693,1.519410977,1.956714314,1.221869783,1.092859368,2
1968,0.830651822,0.714844337,0.590710508,1.247824632,0.631265637,1.081672862,1.734693878
1969,1.364641546,1.452249839,1.531476772,1.578336557,1.491100857,1.036005826,1.585714286
1970,1.1114602,1.269608826,1.703401259,0.665680959,1.238722094,0.660405519,1.583333333
1971,1.217706082,1.358577425,1.320752236,0.358490566,0.98417051,1.252382364,1.688888889
1972,1.192100765,0.993199522,1.7278408,1.298201439,1.315833801,1.060335962,1.804347826
1973,0.846155869,0.746380963,1.148887254,0.86039099,0.826488186,0.821777304,1.790697674
1974,1.330140814,1.37408949,1.117258924,1.332404358,1.253579161,1.414016589,1.4
1975,1.367110854,1.439254809,1.833347944,1.41678608,1.217305801,1.166269262,1.533333333
1976,1.400582129,1.553837281,1.47097195,1.440472058,1.188315076,1.299782424,1.0625
1977,1.317522527,1.649977534,1.613271689,1.365120275,0.991419378,0.980355472,1.95
1978,0.941263336,1.138804998,1.178225616,0.938035597,0.468623853,0.816176674,1.153846154
1979,1.765006635,2.099996838,2.242036788,2.626773762,1.61020613,1.187257124,2.071428571
1980,1.45155216,1.756954612,2.230489395,1.153688804,1.649768291,0.907372355,1.85
1981,0.962182379,0.856502242,1.773584906,0.667537827,1.141908254,0.765087351,1.5625
1982,1.376500879,1.641666667,1.866384202,1.575071725,1.187180385,1.04572175,1.769230769
1983,0.764316779,0.513394693,0.31833258,0.98357236,0.487267525,1.093866897,1.666666667
1984,1.624110317,2.125281146,2.393270959,1.911124366,1.656202046,0.88251654,2.545454545
1985,1.500398512,1.571704721,1.769538947,1.714549403,1.378919861,1.350976008,1.76
1986,1.368707182,1.615109485,1.553212652,1.738459957,1.24305026,1.040649034,2.222222222
1987,1.447607587,1.566800052,2.049427985,1.048452051,1.39509992,1.262100371,2.764705882
1988,1.364472281,1.622316029,1.835234474,1.111902182,1.159038313,1.172050477,3.166666667
1989,1.578714823,1.777570903,1.816951337,2.017703723,0.895460526,1.584612119,2.75
1990,1.578704783,1.612178582,2.05964507,1.58783406,1.674932545,1.380738695,3.375
1991,1.634404053,1.905808477,1.637959408,1.860982741,1.395772897,1.500220252,4
1992,1.469796322,1.456012806,1.732269237,0.699003457,1.650987045,1.466299266,2.666666667
1993,1.781197883,2.114935065,2.453848027,1.098625224,1.705671011,1.629438858,3.666666667
1994,1.965752934,2.571724731,2.59251186,0.999819982,1.744325658,1.73639809,3.3125
1995,1.13567871,0.614271667,1.136042833,0.561766908,1.066465907,1.413065509,2.153846154
1996,1.789874955,1.936348409,2.251230373,0.829209896,1.793167007,1.753853664,3.727272727
1997,2.096300157,2.620112782,2.350197382,2.020516485,1.820900384,1.762788189,3.947368421
1998,1.841522518,2.011579593,1.753968254,1.390153785,1.869447341,1.837023473,4.178571429
1999,1.859631796,2.067962695,1.541534894,1.704601335,1.878667499,1.80942573,4.375
2000,2.03471543,2.511870346,2.140045359,1.737226277,1.397567568,1.976230192,3.142857143
2001,1.820885565,2.143211289,2.695343952,1.307492372,2.106904232,1.303589445,3.878787879
2002,2.107631059,2.333952409,2.456353397,1.491396426,2.405365952,1.783926067,4.288135593
2003,0.907039202,0.833077334,0.718540641,1.168157076,1.058931766,0.907844853,3.418918919
2004,1.999823985,1.829643019,2.232117513,1.405217171,1.781270732,2.251372788,3.38961039
2005,1.634782154,1.770880812,1.45222306,1.646132208,1.324171382,1.683938026,4.121621622
2006,2.021297628,2.264708365,2.212764339,1.564435308,1.893360853,1.912197277,4.303797468
2007,0.917247985,0.714083097,0.652638611,1.217398119,0.665592635,1.271810751,2.458333333
2008,1.078794432,0.617900172,1.317899604,1.426072657,1.082610336,1.366821662,3.774647887
2009,1.583139939,1.611054556,1.14482264,1.976664379,1.129378773,1.821704573,4.058139535
2010,1.572941431,1.343293326,1.662817167,1.399916814,1.885271391,1.620907329,3.791666667
2011,2.030107097,2.749469159,2.460766271,1.682606295,2.541527813,1.078693825,3.938271605
2012,2.151108319,2.190315054,2.362779363,1.978914206,2.0118587,2.142284524,4.874112135
2013,1.76091404,2.11182561,2.150146176,1.863865494,1.73639226,1.373755935,5.081803005
2014,2.006071801,2.01738981,2.211129183,1.367429465,2.207910839,1.950567666,5.318493151
2015,1.917247007,2.101575502,1.762830309,1.557762491,2.250399387,1.751523481,5.313115542
2016,1.974305548,2.351904583,1.352852602,2.153374364,2.07907668,1.843807987,5.060312945
2017,2.609986439,3.022739999,3.207837183,2.413383543,2.815328784,2.06185271,5.4139571
2018,1.917830277,1.683521058,2.544996416,1.197475238,2.050781199,1.897796515,
2019,1.691703764,0.776814236,1.622822756,0.999947581,1.661078888,2.283992493,
2020,1.468107763,0.831309427,2.59949946,0.947897625,1.562558435,1.413645868,6.099275968
2021,2.524876187,3.213313794,3.201451513,1.650076801,2.174911181,2.004029161,6.887923651
