Year,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania
1901,2293200,619400,816400,32100,774300,30100,21000
1902,2070400,563400,710000,35300,705600,38300,17800
1903,2086600,517900,807100,800,706900,37400,16600
1904,2252600,631800,796700,55900,692500,55800,20000
1905,2537300,718700,921700,61100,744700,73700,17400
1906,2477800,784900,837900,48300,711100,78900,16700
1907,2420900,755200,822300,46400,682500,101300,13300
1908,2179100,562900,747500,33400,709700,113200,12500
1909,2129700,564200,720300,32700,685400,115300,11800
1910,2665400,805400,848700,47400,767200,181700,15000
1911,2983600,861500,970500,43200,851800,235500,21100
1912,3006000,963400,875800,17400,886600,247700,15100
1913,2970300,903100,843900,50600,841600,321000,10200
1914,3758500,1297200,1038400,53700,917800,444000,7500
1915,3905700,1116100,1158800,51400,1012800,556900,9700
1916,5052300,1695200,1489200,37900,1108500,701800,19700
1917,4667200,1540500,1264900,92200,1124400,634000,11200
1918,3955700,1347400,1088700,51700,953300,505800,8800
1919,3233500,975200,896200,8800,884800,463800,4800
1920,2597800,596600,776300,18800,779800,421600,4700
1921,3671400,1265600,929100,71800,877200,516300,11400
1922,3933200,1293000,1056700,66600,964800,540800,11300
1923,3951300,1190900,1070100,58900,992800,628400,10200
1924,3860900,1191900,993100,20700,978700,670500,5900
1925,4380800,1436700,1094800,76500,1011700,755800,5200
1926,4128400,1183700,1017200,67200,997800,854700,7700
1927,4730000,1356800,1179800,23100,1120400,1040500,9400
1928,4965600,1226200,1240000,87000,1190400,1213500,8500
1929,6005100,1655200,1505000,88300,1394400,1353100,9100
1930,6060300,1608200,1443200,82600,1475400,1444000,6800
1931,7350400,2078000,1861600,110200,1691800,1600900,7800
1932,5965000,1490400,1443100,100700,1647700,1278400,4700
1933,6378800,1944100,1307500,101200,1645800,1371700,8500
1934,6029100,1855100,1235500,93900,1546700,1288200,9800
1935,5075800,1575300,995000,89700,1290300,1118700,6700
1936,4838200,1558600,940400,97000,1209800,1028200,4200
1937,4983900,1611800,968700,114800,1237700,1042200,8600
1938,5557600,1806800,1087000,150900,1279500,1224800,8500
1939,5805000,1882100,1112200,178900,1246600,1381100,4000
1940,5375300,1772800,1144200,146500,1106700,1202100,3000
1941,5116300,1802500,1081600,130300,1036200,1062500,3300
1942,4857200,1606100,1115800,117700,941200,1073800,2600
1943,3755200,1227400,868100,135500,813000,709500,1700
1944,3186400,1089900,725800,113800,620700,634200,2000
1945,3424300,1151300,866700,134500,656900,613400,1600
1946,4623000,1527200,1315800,158800,876200,742900,2000
1947,5332300,1810900,1416900,100400,1019400,981700,3100
1948,5615300,2040800,1306000,187100,961100,1117100,3100
1949,5090700,1634300,1212300,246000,834900,1160500,2800
1950,4951700,1623500,1144600,242800,767400,1171200,2200
1951,4719200,1347000,1107000,226100,747800,1289100,2200
1952,4201800,1114200,997000,184000,652800,1252300,1500
1953,4131400,1093600,903300,293200,624800,1213900,2700
1954,4350200,1358500,966900,234700,618500,1167600,3900
1955,4318800,1181100,967300,278200,683600,1205600,3000
1956,4113800,1188700,866600,235400,651200,1169400,2500
1957,3186600,705100,633400,145700,582100,1118800,1600
1958,3580400,913500,742500,186400,538800,1196800,2400
1959,4207900,1286100,732500,284900,569600,1332200,2600
1960,4925300,1598700,914900,276500,627100,1504900,3300
1961,5438200,1649500,1081200,280300,797000,1627400,2800
1962,5957500,1820400,1152900,303400,902100,1772500,6300
1963,6663700,2026800,1264600,371900,1050200,1944100,6200
1964,6665500,2008800,1258200,379400,1134100,1878000,7100
1965,7250700,2331000,1309600,415000,1103500,2084700,6800
1966,7087400,1852100,1244000,386000,1110800,2488800,5700
1967,8425700,2887500,1269900,496700,1198000,2568400,5200
1968,9080700,3324500,1304700,597600,1159100,2690000,4900
1969,10843800,4031400,1612300,723800,1517000,2952300,7000
1970,9485000,3489500,1334800,608700,1299000,2747100,6000
1971,6478000,2215700,760400,333900,802300,2361100,4500
1972,7137400,2426300,1040200,556000,1068600,2041900,4600
1973,7603800,2618100,1087400,470600,986100,2437400,4300
1974,8948000,2883000,1257900,394700,1431900,2977900,2500
1975,8307300,2646300,1140700,488500,1220400,2809900,1500
1976,8554800,2774100,1073100,576200,958500,3171300,1600
1977,8955900,3115800,1103100,582000,839100,3313900,2000
1978,9954600,3377400,1270300,606800,1090000,3608900,1300
1979,10248800,3162100,1337400,747000,1295300,3705600,1400
1980,11152200,3415000,1456900,733300,1424200,4120800,2000
1981,11283100,3345000,1431000,727000,1445300,4333100,1600
1982,11884700,3600000,1321700,941100,1427500,4593000,1300
1983,11519700,3161700,1326600,767000,1398000,4865400,900
1984,12799500,3868100,1613900,1005900,1564000,4746200,1100
1985,12044800,3569500,1522600,921000,1377600,4651600,2500
1986,11735600,3662600,1508100,972700,1442500,4147700,1800
1987,11135200,3098800,1363600,794600,1616300,4260200,1700
1988,9004800,2463700,1025700,646100,1555600,3312400,1200
1989,8826800,2309500,930900,768200,1520000,3297400,800
1990,9003900,2123400,952300,894300,1556600,3476400,800
1991,9218100,2165800,911500,1060300,1447800,3632200,600
1992,7182900,1499300,664100,491700,1296800,3229900,1200
1993,8274600,1694000,821200,669200,1419500,3669300,1500
1994,8383200,1977700,779900,555500,1216000,3852400,1600
1995,7890700,1423800,821800,400700,1394700,3848300,1300
1996,9220700,2328300,853400,626500,1519100,3892400,1100
1997,10935600,3192000,962600,979700,1534900,4263700,1900
1998,10440600,2936200,856800,1001400,1438500,4204900,2800
1999,11542500,3173800,948600,1138800,1762100,4515300,4000
2000,12167500,3424500,1234600,1096000,1850000,4556200,6300
2001,12141400,3670800,1142600,884900,1975600,4460300,6600
2002,11529200,3446000,1136400,604400,1986600,4349900,5900
2003,11170300,2994800,1238900,514400,1956500,4457700,7400
2004,13067100,3983400,1409200,789700,1959500,4917000,7700
2005,13399400,4256300,1327000,711000,1979200,5118300,7400
2006,12442700,3554100,1314600,778300,2034900,4752700,7900
2007,11797900,3595800,1347300,638000,2172500,4037000,7200
2008,12578300,4008900,1514000,668900,2120800,4258200,7100
2009,13530200,4322200,1533600,1019900,2103900,4541900,8600
2010,13881000,3982600,1801100,961700,2122400,5005900,7200
2011,13501800,3814700,1793100,905500,2340600,4639500,8100
2012,13902140,3868354,1668929,953201,2249066,5155761,6617
2013,12979382,3487448,1591922,865923,2118739,4909209,5990
2014,12613226,3269386,1535818,757955,1926850,5114891,8176
2015,12383673,3166039,1492657,633508,2045009,5038134,8326
2016,11282202,2932741,1341512,611093,1769700,4615761,10545
2017,12191153,3248417,1454196,622197,2178255,4677774,10303
2018,10919180,2793456,1446793,639189,1975810,4056574,
2019,10402271,2381953,1402863,419697,1820819,4369200,
2020,9863184,2132016,1428857,441477,1720943,4132709,7182
2021,12643216,4037001,1413422,966132,1830975,4387514,8173
